âgé,âgée,âgés,âgées	old,elderly
amical,amicale,amicaux,amicaldes	friendly
ancien,ancienne,anciens,anciennes	old,ancient,antique,former,ex,senior
assuré,assurée,assurés,assurées	confident
autre,autre,autres,autres	distinct,different,supplementary,other,remaining
beau,belle,beaux,belles	beautiful,good-looking,handsome,lovely,fine,noble,nice,tidy,good,pretty
bizarre,bizarre,bizarres,bizarres	odd,peculiar,strange
blanc,blanche,blancs,blanches	white,Caucasian,blank,innocent,pure
bleu,bleue,bleus,bleues	blue
bon,bonne,bons,bonnes	good,sound,valid,nice,right,correct,proper
bronzé,bronzée,bronzés,bronzées	tan
brun,bruns,brune,brunes	brown
certain,certaine,certains,certaines	definite,positive,clear,certain,sure
chaud,chaude,chauds,chaudes	warm,hot,ardent,keen,horny
cher,chere,chers,cheres	dear,beloved,expensive
clair,claire,clairs,claires	light,bright,clear,thin,sparse,obvious
confus,confuse,confus,confuses	embarrassed,ashamed
content,contente,contents,contentes	happy,glad,pleased
courageux,courageuse,courageux,courageuses	brave
dernier,dernière,derniers,dernières	last,final,previous
désolé,désolée,désolés,désolées	apologetic,contrite,sorry,sorrowful,desolate,bleak
désorienté,désorientée,désorientés,désorientées	confused
différent,différente,différents,différentes	different
difficile,difficile,difficiles,difficiles	difficult,hard,tough
doré,dorée,dorés,dorées	gold
doux,douce,doux,douces	soft,smooth,sweet
droit,droite,droits,droites	straight,upright,honest,sound,sane
drôle,drôle,drôles,drôles	comical,funny,amusing,strange,peculiar
effrayé,effrayée,effrayés,effrayées	scared
ennuyé,ennuyée,ennuyés,ennuyées	annoyed
ennuyeux,ennuyeuse,ennuyeux,ennuyeuses	boring
entier,entière,entiers,entières	whole,entire,absolute,complete,intact
épuisé,épuisée,épuisés,épuisées	exhausted
étrange,étrange,étranges,étrange	strange, odd
fâché,fâchée,fâchés,fâchées	angry
facile,facile,faciles,faciles	easy
faible,faible,faibles,faibles	weak
fatigué,fatiguée,fatigués,fatiguées	tired
faux,fausse,faux,fausses	wrong,untrue,false,mistaken,fake,forged,imitation,counterfeit
fort,forte,forts,fortes	strong,sturdy,powerful,hard,weighty,big,large,intense
frais,fraise,frais,fraises	cool
français,française,français,françaises	French
froid,froide,froids,froides	cold,chilly,insensitive,unfeeling,unfriendly,bleak
gelé,gelée,gelés,gelées	freezing,frozen
gentil,gentille,gentils,gentilles	kind,nice,sweet
grand,grande,grands,grandes	tall,big,large,long,great,full-grown,major,top,leading,important
grave,grave,graves,graves	grave,solemn,serious,major
gris,grise,gris,grises	gray,grey
gros,grosse,gros,grosses	large,big,thick,fat,heavy
haut,haute,hauts,hautes	high,tall,top
heureux,heureuse,heureux,heureuses	happy,glad,lucky,fortunate
humain,humaine,humains,humaines	human,humane
humide,humide,humides,humides	humid
impatient,impatiente,impatients,impatientes	impatient
important,importante,importants,importantes	important,significant,serious,substantial,considerable
impossible,impossible,impossibles,impossibles	impossible,unbearable,intolerable
inquiet,inquiète,inqiets,inquiètes	worried
intelligent,intelligente,intelligents,intelligentes	smart
intéressant,intéressante,intéressants,intéressantes	interesting
jaune,jaune,jaunes,jaune	yellow
jeune,jeune,jeunes,jeunes	young
joli,jolie,jolis,jolies	pretty,lovely,nice,attractive
juste,juste,justes,justes	fair,just,legitimate,right
laid,laide,laids,laides	ugly
léger,légère,légers,légères	light,subtle,superficial
libre,libre,libres,libres	free,available,vacant
long,longue,longs,longues	long
lourd,lourde,lourds,lourdes	heavy
malade,malade,malades,malades	ill,sick,unwell,bad,diseased
mauvais,mauvaise,mauvais,mauvaises	bad,poor,wrong,faulty,unpleasant,nasty
méchant,méchante,méchants,méchantes	mean
meilleur,meilleure,meilleurs,meilleures	better,superior
même,même,mêmes,mêmes	same
mince,mince,minces,minces	thin
moche,moche,moches,moches	ugly
mort,morte,morts,mortes	dead,buried,lifeless,dull,stagnant
naïf,naïve,naïfs,naïves	naive
nerveux,nerveuse,nerveux,nerveuses	nervous
noir,noire,noirs,noires	black,dirty,grimy,dark,gloomy,somber
nouveau,nouvelle,nouveaux,nouvelles	new,young,latest,further,novel,original
nuageux,nuageuse,nuageux,nuageuses	cloudy
orageux,orageuse,orageux,orageuses	stormy
orange,orange,oranges,oranges	orange
ouvert,ouverte,ouverts,ouvertes	open,outgoing
pareil,pareilles,pareils,pareilles	the same,alike,similar
paresseux,paresseuse,paresseux,paresseuses	lazy
patient,patiente,patients,patientes	patient
patriotique,patriotique,patriotiques,patriotiques	patriotic
pauvre,pauvre,pauvres,pauvres	poor,humble
petit,petite,petits,petites	small,little,short,younger,brief,minor
plein,pleine,pleins,pleines	full,solid,busy
possible,possible,possibles,possibles	possible,feasible
premier,première,premiers,premières	early,nearest,next,first,main,chief,leading,original,initial
pressé,pressée,pressés,pressées	in a hurry,rushed
prêt,prête,prêts,prêtes	ready
prochain,prochaine,prochains,prochaines	next,imminent,near,immediate
